"id","name","canton_id","canton_name","ballot_id","ballot_name","yes","no","yes_pct","turnout","ballots_returned","voters","valid_votes"
"312","Wahlkreis Luzern-Land","3","Luzern",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",16876,27719,37.84280749,64.506459211,45190,70055,44595
"313","Wahlkreis Hochdorf","3","Luzern",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",9320,20074,31.707151119,64.726681128,29839,46100,29394
"314","Wahlkreis Sursee","3","Luzern",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",10585,26002,28.93104108,70.838154126,37348,52723,36587
"315","Wahlkreis Willisau","3","Luzern",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",5203,19888,20.736519071,68.835135135,25469,37000,25091
"316","Wahlkreis Entlebuch","3","Luzern",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",1851,11250,14.128692466,78.19246466,13220,16907,13101
"9030","LU-Ausland-CH","3","Luzern",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",869,706,55.174603175,28.462206777,1638,5755,1575
"400","Kanton Uri","4","Uri",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",4548,12173,27.199330184,64.056818182,16911,26400,16721
"9040","UR-Ausland-CH","4","Uri",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",82,78,51.25,33.541666667,161,480,160
"501","Bezirk Einsiedeln","5","Schwyz",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",2239,6023,27.099975793,72.933520929,8294,11372,8262
"502","Bezirk Gersau","5","Schwyz",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",307,720,29.892891918,66.387096774,1029,1550,1027
"503","Bezirk Höfe","5","Schwyz",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",4150,7848,34.589098183,65.535801664,12054,18393,11998
"504","Bezirk Küssnacht (SZ)","5","Schwyz",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",2030,4140,32.901134522,71.079779917,6201,8724,6170
