"id","name","canton_id","canton_name","ballot_id","ballot_name","yes","no","yes_pct","turnout","ballots_returned","voters","valid_votes"
"9","Zug","9","Zug",6440,"Loi fédérale sur la réduction des émissions de gaz à effet de serre (Loi sur le CO2)",24987,27382,47.713341863,67.464445868,52656,78050,52369
"10","Fribourg / Freiburg","10","Fribourg / Freiburg",6440,"Loi fédérale sur la réduction des émissions de gaz à effet de serre (Loi sur le CO2)",56844,71158,44.408681114,61.894870243,129913,209893,128002
"11","Solothurn","11","Solothurn",6440,"Loi fédérale sur la réduction des émissions de gaz à effet de serre (Loi sur le CO2)",46694,59764,43.86142892,59.143816545,107265,181363,106458
"12","Basel-Stadt","12","Basel-Stadt",6440,"Loi fédérale sur la réduction des émissions de gaz à effet de serre (Loi sur le CO2)",43550,21800,66.641162969,58.083874302,66301,114147,65350
"13","Basel-Landschaft","13","Basel-Landschaft",6440,"Loi fédérale sur la réduction des émissions de gaz à effet de serre (Loi sur le CO2)",51561,58190,46.979981959,59.375181097,112703,189815,109751
"14","Schaffhausen","14","Schaffhausen",6440,"Loi fédérale sur la réduction des émissions de gaz à effet de serre (Loi sur le CO2)",17251,19809,46.548839719,72.522428936,38397,52945,37060
"15","Appenzell Ausserrhoden","15","Appenzell Ausserrhoden",6440,"Loi fédérale sur la réduction des émissions de gaz à effet de serre (Loi sur le CO2)",10842,14669,42.499314021,66.120990954,25729,38912,25511
"16","Appenzell Innerrhoden","16","Appenzell Innerrhoden",6440,"Loi fédérale sur la réduction des émissions de gaz à effet de serre (Loi sur le CO2)",2726,5035,35.124339647,65.131200132,7918,12157,7761
"17","St. Gallen","17","St. Gallen",6440,"Loi fédérale sur la réduction des émissions de gaz à effet de serre (Loi sur le CO2)",83092,110686,42.879996697,59.586871042,195032,327307,193778
"18","Graubünden / Grigioni / Grischun","18","Graubünden / Grigioni / Grischun",6440,"Loi fédérale sur la réduction des émissions de gaz à effet de serre (Loi sur le CO2)",38561,44117,46.639976777,59.735477142,84187,140933,82678
"19","Aargau","19","Aargau",6440,"Loi fédérale sur la réduction des émissions de gaz à effet de serre (Loi sur le CO2)",112380,142857,44.029666545,59.022020056,256914,435285,255237
"20","Thurgau","20","Thurgau",6440,"Loi fédérale sur la réduction des émissions de gaz à effet de serre (Loi sur le CO2)",42616,62497,40.543034639,61.387060159,108164,176200,105113
"21","Ticino","21","Ticino",6440,"Loi fédérale sur la réduction des émissions de gaz à effet de serre (Loi sur le CO2)",47580,59337,44.501809815,48.655750599,108876,223768,106917
"22","Vaud","22","Vaud",6440,"Loi fédérale sur la réduction des émissions de gaz à effet de serre (Loi sur le CO2)",138569,122142,53.150423266,57.776440114,265871,460172,260711
"23","Valais / Wallis","23","Valais / Wallis",6440,"Loi fédérale sur la réduction des émissions de gaz à effet de serre (Loi sur le CO2)",50855,79236,39.091866463,59.388137302,136041,229071,130091
"24","Neuchâtel","24","Neuchâtel",6440,"Loi fédérale sur la réduction des émissions de gaz à effet de serre (Loi sur le CO2)",31522,28398,52.606809079,53.816679321,60956,113266,59920
"25","Genève","25","Genève",6440,"Loi fédérale sur la réduction des émissions de gaz à effet de serre (Loi sur le CO2)",82406,51803,61.401247308,50.843012641,137841,271111,134209
"26","Jura","26","Jura",6440,"Loi fédérale sur la réduction des émissions de gaz à effet de serre (Loi sur le CO2)",13012,18102,41.820402391,58.669653436,31691,54016,31114
"1","Zürich","1","Zürich",6450,"Loi fédérale sur les mesures policières de lutte contre le terrorisme (MPT)",302856,253360,54.449350612,59.262915122,565562,954327,556216
"2","Bern / Berne","2","Bern / Berne",6450,"Loi fédérale sur les mesures policières de lutte contre le terrorisme (MPT)",247940,204594,54.789253404,62.268452512,462951,743476,452534
"3","Luzern","3","Luzern",6450,"Loi fédérale sur les mesures policières de lutte contre le terrorisme (MPT)",102824,76016,57.494967569,64.948698579,183130,281961,178840
"4","Uri","4","Uri",6450,"Loi fédérale sur les mesures policières de lutte contre le terrorisme (MPT)",8893,7670,53.691964016,62.912946429,16911,26880,16563
"5","Schwyz","5","Schwyz",6450,"Loi fédérale sur les mesures policières de lutte contre le terrorisme (MPT)",36393,35797,50.412799557,68.312649276,72934,106765,72190
"6","Obwalden","6","Obwalden",6450,"Loi fédérale sur les mesures policières de lutte contre le terrorisme (MPT)",10465,8120,56.308851224,71.232167936,19274,27058,18585
"7","Nidwalden","7","Nidwalden",6450,"Loi fédérale sur les mesures policières de lutte contre le terrorisme (MPT)",11712,9341,55.631026457,68.084904766,21555,31659,21053
"8","Glarus","8","Glarus",6450,"Loi fédérale sur les mesures policières de lutte contre le terrorisme (MPT)",7953,7554,51.286515767,59.270127916,15754,26580,15507
"9","Zug","9","Zug",6450,"Loi fédérale sur les mesures policières de lutte contre le terrorisme (MPT)",30608,21327,58.935207471,67.240230621,52481,78050,51935
"10","Fribourg / Freiburg","10","Fribourg / Freiburg",6450,"Loi fédérale sur les mesures policières de lutte contre le terrorisme (MPT)",80299,45998,63.579499117,61.77337977,129658,209893,126297
"11","Solothurn","11","Solothurn",6450,"Loi fédérale sur les mesures policières de lutte contre le terrorisme (MPT)",62035,43410,58.831618379,58.978953811,106966,181363,105445
"12","Basel-Stadt","12","Basel-Stadt",6450,"Loi fédérale sur les mesures policières de lutte contre le terrorisme (MPT)",29105,35474,45.068830425,58.083874302,66301,114147,64579
"13","Basel-Landschaft","13","Basel-Landschaft",6450,"Loi fédérale sur les mesures policières de lutte contre le terrorisme (MPT)",59871,48677,55.156244242,59.207649554,112385,189815,108548
"14","Schaffhausen","14","Schaffhausen",6450,"Loi fédérale sur les mesures policières de lutte contre le terrorisme (MPT)",20725,16003,56.428338053,73.024837095,38663,52945,36728
"15","Appenzell Ausserrhoden","15","Appenzell Ausserrhoden",6450,"Loi fédérale sur les mesures policières de lutte contre le terrorisme (MPT)",12880,12340,51.070578906,65.709806743,25569,38912,25220
"16","Appenzell Innerrhoden","16","Appenzell Innerrhoden",6450,"Loi fédérale sur les mesures policières de lutte contre le terrorisme (MPT)",3843,3841,50.013014055,64.867977297,7886,12157,7684
